Form Number,Form Title,Form URL
"4-24a, 5-16a, UIFSA-10","Support, Paternity, UIFSA - Order on Electronic Testimony Application",https://www.nycourts.gov/forms/support-paternity-uifsa-order-electronic-testimony-application?topic=611&wrapped=true
4-SM-1,Stipulation for Child Support,https://www.nycourts.gov/forms/stipulation-child-support?topic=611&wrapped=true
5-1-a,Summons - Paternity,https://www.nycourts.gov/forms/summons-paternity?topic=611&wrapped=true
5-1-c,Summons - Paternity (Non-Resident),https://www.nycourts.gov/forms/summons-paternity-non-resident?topic=611&wrapped=true
5-1b,Summons - Paternity (Non-Party Spouse or Former Spouse),https://www.nycourts.gov/forms/summons-paternity-non-party-spouse-or-former-spouse?topic=611&wrapped=true
5-9,Remand Commitment (Undertaking) - Paternity,https://www.nycourts.gov/forms/remand-commitment-undertaking-paternity?topic=611&wrapped=true
5-15,Petition to Vacate Acknowledgment of Paternity,https://www.nycourts.gov/forms/petition-vacate-acknowledgment-paternity?topic=611&wrapped=true
5-C-5,Summons (Surrogacy Agreement or Assisted Reproduction),https://www.nycourts.gov/forms/summons-surrogacy-agreement-or-assisted-reproduction?topic=611&wrapped=true
5-C-6,Report of Birth of Child,https://www.nycourts.gov/forms/report-birth-child?topic=611&wrapped=true
6-1,Petition for Appointment As Guardian of a Person Or Permanent Guardian,https://www.nycourts.gov/forms/petition-appointment-guardian-person-or-permanent-guardian?topic=611&wrapped=true
6-1-a,Petition by Person Over 14 for Appointment of Guardian of a Person or Permanent Guardian,https://www.nycourts.gov/forms/petition-person-over-14-appointment-guardian-person-or-permanent-guardian?topic=611&wrapped=true
6-1-b,Petition by Person on Behalf of Person Under 21 for Appointment of Guardian of a Person or Permanent Guardian,https://www.nycourts.gov/forms/petition-person-behalf-person-under-21-appointment-guardian-person-or-permanent-guardian?topic=611&wrapped=true
6-1-c,Petition for Appointment of Kinship Guardian [Subsidized Kinship Guardian Program] and/or Permanent Guardian,https://www.nycourts.gov/forms/petition-appointment-kinship-guardian-subsidized-kinship-guardian-program-andor-permanent?topic=611&wrapped=true
6-3,Preference of Minor Over 14 Years of Age,https://www.nycourts.gov/forms/preference-minor-over-14-years-age?topic=611&wrapped=true
6-4,"Waiver of Process, Renunciation Or Consent to (Letters of Guardianship) (Standby Guardianship)",https://www.nycourts.gov/forms/waiver-process-renunciation-or-consent-letters-guardianship-standby-guardianship?topic=611&wrapped=true
6-4,"Waiver of Process, Renunciation or Consent to Letters of Guardianship/Standby Guardianship",https://www.nycourts.gov/forms/waiver-process-renunciation-or-consent-letters-guardianshipstandby-guardianship?topic=611&wrapped=true
7,Report of Investigation (Private Placement),https://www.nycourts.gov/forms/report-investigation-private-placement?topic=611&wrapped=true
7-1,Recognizance to Produce Child,https://www.nycourts.gov/forms/recognizance-produce-child?topic=611&wrapped=true
7-1a,Warrant of Arrest (w/ aliases) (PINS),https://www.nycourts.gov/forms/warrant-arrest-w-aliases-pins?topic=611&wrapped=true
7-9,Petition for Termination of Placement,https://www.nycourts.gov/forms/petition-termination-placement?topic=611&wrapped=true
7-11,Petition for Discontinuance of Treatment,https://www.nycourts.gov/forms/petition-discontinuance-treatment?topic=611&wrapped=true
10-7a,Summons - Child Abuse,https://www.nycourts.gov/forms/summons-child-abuse?topic=611&wrapped=true
10-7b,Warrant (w/ aliases) - Child Abuse/Child Neglect,https://www.nycourts.gov/forms/warrant-w-aliases-child-abusechild-neglect?topic=611&wrapped=true
10-7c,Summons - Child Neglect,https://www.nycourts.gov/forms/summons-child-neglect?topic=611&wrapped=true
10-15,Petition For Release of Responsibility Under Order of Placement,https://www.nycourts.gov/forms/petition-release-responsibility-under-order-placement?topic=611&wrapped=true
10-27,Petition for Extension of Supervision,https://www.nycourts.gov/forms/petition-extension-supervision?topic=611&wrapped=true
10-A,Supplemental Affidavit (Agency),https://www.nycourts.gov/forms/supplemental-affidavit-agency?topic=611&wrapped=true
10-B,Supplemental Affidavit (Private Placement),https://www.nycourts.gov/forms/supplemental-affidavit-private-placement?topic=611&wrapped=true
17,Petition For Enforcement of Post-adoption Contact Agreement (after Adoption Finalization),https://www.nycourts.gov/forms/petition-enforcement-post-adoption-contact-agreement-after-adoption-finalization?topic=611&wrapped=true
21-A,Petition for Temporary Guardianship,https://www.nycourts.gov/forms/petition-temporary-guardianship?topic=611&wrapped=true
26,Petition for Extension of Expired Certification,https://www.nycourts.gov/forms/petition-extension-expired-certification?topic=611&wrapped=true
28,Petition for Registration of Foreign Adoption Order,https://www.nycourts.gov/forms/petition-registration-foreign-adoption-order?topic=611&wrapped=true
29a,Petition for Adult Adoption,https://www.nycourts.gov/forms/petition-adult-adoption?topic=611&wrapped=true
30,Petition For Access to Sealed Birth Certificate,https://www.nycourts.gov/forms/petition-access-sealed-birth-certificate?topic=611&wrapped=true
358-a-1,Petition for Approval of an Instrument,https://www.nycourts.gov/forms/petition-approval-instrument?topic=611&wrapped=true
358-a-4,Temporary Order Approving Placement Instrument,https://www.nycourts.gov/forms/temporary-order-approving-placement-instrument?topic=611&wrapped=true
358-a-6,Petition for Pre-placement Approval of Standby Placement Instrument,https://www.nycourts.gov/forms/petition-pre-placement-approval-standby-placement-instrument?topic=611&wrapped=true
DOH-1928,Report of Adoption (to be completed and certified by the court),https://www.nycourts.gov/forms/report-adoption-be-completed-and-certified-court?topic=611&wrapped=true
GF-2,Summons - General,https://www.nycourts.gov/forms/summons-general?topic=611&wrapped=true
GF-3,Warrant of Arrest,https://www.nycourts.gov/forms/warrant-arrest?topic=611&wrapped=true
GF-3 (On web Warrant of Arrest),Warrant of Arrest (w/ aliases),https://www.nycourts.gov/forms/warrant-arrest-w-aliases?topic=611&wrapped=true
GF-4,Subpoena Duces Tecum,https://www.nycourts.gov/forms/subpoena-duces-tecum?topic=611&wrapped=true
GF-5,Temporary Order of Protection (Family Court),https://www.nycourts.gov/forms/temporary-order-protection-family-court?topic=611&wrapped=true
GF-6,Temporary Order of Protection (Person in Need of Supervision or Juvenile Delinquency),https://www.nycourts.gov/forms/temporary-order-protection-person-need-supervision-or-juvenile-delinquency?topic=611&wrapped=true
GF-6,Temporary Order of Protection (Person in Need of Supervision or Juvenile Delinquency),https://www.nycourts.gov/forms/temporary-order-protection-person-need-supervision-or-juvenile-delinquency-0?topic=611&wrapped=true
GF-7,Summons - Violation of Order of Protection,https://www.nycourts.gov/forms/summons-violation-order-protection?topic=611&wrapped=true
GF-7a,Summons - Violation of Court Order,https://www.nycourts.gov/forms/summons-violation-court-order?topic=611&wrapped=true
GF-12-b,Protective Order - Self-represented party Prior to Receipt of Forensic Report,https://www.nycourts.gov/forms/protective-order-self-represented-party-prior-receipt-forensic-report?topic=611&wrapped=true
GF-12-c,Protective Order - After Forensic Report Received,https://www.nycourts.gov/forms/protective-order-after-forensic-report-received?topic=611&wrapped=true
GF-12-e,Protective Order Permitting Limited Release of Forensic Evaluation,https://www.nycourts.gov/forms/protective-order-permitting-limited-release-forensic-evaluation?topic=611&wrapped=true
GF-17,Petition for (Custody) (Visitation),https://www.nycourts.gov/forms/petition-custody-visitation?topic=611&wrapped=true
GF-17,Petition for Custody/Visitation,https://www.nycourts.gov/forms/petition-custodyvisitation?topic=611&wrapped=true
GF-22,Petition for Writ of Habeas Corpus,https://www.nycourts.gov/forms/petition-writ-habeas-corpus?topic=611&wrapped=true
GF-23,Writ of Habeas Corpus,https://www.nycourts.gov/forms/writ-habeas-corpus?topic=611&wrapped=true
GF-30,Summons (Publication),https://www.nycourts.gov/forms/summons-publication?topic=611&wrapped=true
GF-40,Petition for Modification of Custody/Visitation Order Made by Supreme or Family Court,https://www.nycourts.gov/forms/petition-modification-custodyvisitation-order-made-supreme-or-family-court?topic=611&wrapped=true
GF-40,Petition For Modification Of Order Of Custody Visitation,https://www.nycourts.gov/forms/petition-modification-order-custody-visitation?topic=611&wrapped=true
GF-41,Petition for Enforcement of Order of Custody or Visitation made by Supreme Court or Family Court,https://www.nycourts.gov/forms/petition-enforcement-order-custody-or-visitation-made-supreme-court-or-family-court?topic=611&wrapped=true
GF-42,Special Immigrant Juvenile Status - Order,https://www.nycourts.gov/forms/special-immigrant-juvenile-status-order?topic=611&wrapped=true
GF-42,Special Immigrant Juvenile Status Order,https://www.nycourts.gov/forms/special-immigrant-juvenile-status-order-0?topic=611&wrapped=true
GF-43,Petition for Voter Registration Confidentiality,https://www.nycourts.gov/forms/petition-voter-registration-confidentiality?topic=611&wrapped=true
GF19,Petition for Transfer of Proceeding Concerning an Indian Child,https://www.nycourts.gov/forms/petition-transfer-proceeding-concerning-indian-child?topic=611&wrapped=true
OCFS-3937,Request for Information - Private Adoption,https://www.nycourts.gov/forms/request-information-private-adoption?topic=611&wrapped=true
PH-4-b,Statement to Court of Permanency Hearing Reports and/or Notices Sent,https://www.nycourts.gov/forms/statement-court-permanency-hearing-reports-andor-notices-sent-0?topic=611&wrapped=true
PH-4a,Statement to Court of Permanency Hearing Reports and/or Notices Sent,https://www.nycourts.gov/forms/statement-court-permanency-hearing-reports-andor-notices-sent?topic=611&wrapped=true
PH-4c,Statement to Court of Permanency Hearing Reports and/or Notices Sent,https://www.nycourts.gov/forms/statement-court-permanency-hearing-reports-andor-notices-sent-1?topic=611&wrapped=true
SC-1,Temporary Order of Protection (Supreme Court),https://www.nycourts.gov/forms/temporary-order-protection-supreme-court?topic=611&wrapped=true
SURR-3,Petition for Approval of Extra-judicial Surrender Instrument,https://www.nycourts.gov/forms/petition-approval-extra-judicial-surrender-instrument?topic=611&wrapped=true
SURR-7,Petition for Review of Failure of Material Condition in Conditional Surrender and violation of Post-adoption Contact Agreement (Prior to Adoption Finalization),https://www.nycourts.gov/forms/petition-review-failure-material-condition-conditional-surrender-and-violation-post-adoption?topic=611&wrapped=true
TPR-1a,Summons - Termination of Parental Rights,https://www.nycourts.gov/forms/summons-termination-parental-rights?topic=611&wrapped=true
TPR-13,Termination of Parental Rights - Determination of Family Court Judge Regarding Venue,https://www.nycourts.gov/forms/termination-parental-rights-determination-family-court-judge-regarding-venue?topic=611&wrapped=true
TPR-14,Termination of Parental Right Order Regarding Venue,https://www.nycourts.gov/forms/termination-parental-right-order-regarding-venue?topic=611&wrapped=true
TPR-15,Petition to Restore Parental Rights,https://www.nycourts.gov/forms/petition-restore-parental-rights?topic=611&wrapped=true
UCCJEA-1,Petition for Custody/Visitation - UCCJEA,https://www.nycourts.gov/forms/petition-custodyvisitation-uccjea?topic=611&wrapped=true
UCCJEA-6,Warrant to Arrest Party and Take Physical Custody of Child - UCCJEA,https://www.nycourts.gov/forms/warrant-arrest-party-and-take-physical-custody-child-uccjea?topic=611&wrapped=true
UCCJEA-8,Request for Assistance or Records,https://www.nycourts.gov/forms/request-assistance-or-records?topic=611&wrapped=true
UCCJEA-9,Petition to Modify Custody/Visitation Order - UCCJEA,https://www.nycourts.gov/forms/petition-modify-custodyvisitation-order-uccjea?topic=611&wrapped=true
UCCJEA-11,Petition to Enforce Custody/Visitation Order - UCCJEA,https://www.nycourts.gov/forms/petition-enforce-custodyvisitation-order-uccjea?topic=611&wrapped=true
UCS-836,Uniform Adoption - Attorney's Affidavit (Agency and Private Placement),https://www.nycourts.gov/forms/uniform-adoption-attorneys-affidavit-agency-and-private-placement?topic=611&wrapped=true
UIFSA-4,Uniform Support Petition,https://www.nycourts.gov/forms/uniform-support-petition?topic=611&wrapped=true
UIFSA-9,Registration Statement,https://www.nycourts.gov/forms/registration-statement?topic=611&wrapped=true
UIFSA-12,Petition to Vacate Registration of Out-of-State Support Order,https://www.nycourts.gov/forms/petition-vacate-registration-out-state-support-order?topic=611&wrapped=true
--,Withdrawal Request,https://www.nycourts.gov/forms/withdrawal-request?topic=611&wrapped=true
