Original Form Number,Original Form Title,Form URL,Extracted Form Number,Case Type,Legal Action,Original PDF URLs,Resolved PDF URLs,PDF Filenames
4-1b,Summons - Support (Non-Resident),https://www.nycourts.gov/forms/summons-support-non-resident?topic=611&wrapped=true,4-1b,Family Forms,,https://www.nycourts.gov/media/12811|https://www.nycourts.gov/media/12816,https://webfiles.nycourts.gov/public/2025-12/4-1b.pdf|https://webfiles.nycourts.gov/public/2025-12/4-1b.doc,4-1b.pdf|4-1b.doc
4-1b,Summons (Non-Resident),https://www.nycourts.gov/forms/summons-non-resident?topic=611&wrapped=true,4-1b,"Family Forms, Child Support",,https://www.nycourts.gov/media/12811|https://www.nycourts.gov/media/12816,https://webfiles.nycourts.gov/public/2025-12/4-1b.pdf|https://webfiles.nycourts.gov/public/2025-12/4-1b.doc,4-1b.pdf|4-1b.doc
4-3,Spousal (Only) Support Petition (spousal only),https://www.nycourts.gov/forms/spousal-only-support-petition-spousal-only?topic=611&wrapped=true,4-3,Family Forms,,https://www.nycourts.gov/media/27171|https://www.nycourts.gov/media/27176,https://webfiles.nycourts.gov/public/2026-03/form-4-3-support-spousal-only-petition-ncfc-5-2016.pdf|https://webfiles.nycourts.gov/public/2026-03/fillable-form-4-3-support-spousal-only-petition-ncfc-5-2016.pdf,form-4-3-support-spousal-only-petition-ncfc-5-2016.pdf|fillable-form-4-3-support-spousal-only-petition-ncfc-5-2016.pdf
4-3c,Petition for Support of Adult Dependent,https://www.nycourts.gov/forms/petition-support-adult-dependent?topic=611&wrapped=true,4-3c,"Family Forms, Child Support",,https://www.nycourts.gov/media/14376|https://www.nycourts.gov/media/14381,https://webfiles.nycourts.gov/public/2025-12/4-3c.pdf|https://webfiles.nycourts.gov/public/2025-12/4-3c.docx,4-3c.pdf|4-3c.docx
4-4,Remand Commitment (Undertaking),https://www.nycourts.gov/forms/remand-commitment-undertaking?topic=611&wrapped=true,4-4,"Family Forms, Child Support",,https://www.nycourts.gov/media/15086|https://www.nycourts.gov/media/15091,https://webfiles.nycourts.gov/public/2025-12/4-4.pdf|https://webfiles.nycourts.gov/public/2025-12/4-4.doc,4-4.pdf|4-4.doc
4-5a,Undertaking for Support - Cash Deposit,https://www.nycourts.gov/forms/undertaking-support-cash-deposit?topic=611&wrapped=true,4-5a,"Family Forms, Child Support",,https://www.nycourts.gov/media/14416|https://www.nycourts.gov/media/14421,https://webfiles.nycourts.gov/public/2025-12/4-5a.pdf|https://webfiles.nycourts.gov/public/2025-12/4-5a_0.docx,4-5a.pdf|4-5a_0.docx
4-7c,Rebuttal to Objection to Support Order,https://www.nycourts.gov/forms/rebuttal-objection-support-order-0?topic=611&wrapped=true,4-7c,"Family Forms, Child Support",,https://www.nycourts.gov/media/14601|https://www.nycourts.gov/media/14606,https://webfiles.nycourts.gov/public/2025-12/4-7c-1_0.pdf|https://webfiles.nycourts.gov/public/2025-12/4-7c-1.docx,4-7c-1_0.pdf|4-7c-1.docx
4-11,Petition for Modification of an Order of Support,https://www.nycourts.gov/forms/petition-modification-order-support?topic=611&wrapped=true,4-11,"Family Forms, Child Support",,https://www.nycourts.gov/media/13721|https://www.nycourts.gov/media/13726|https://www.nycourts.gov/media/27206,https://webfiles.nycourts.gov/public/2025-12/4-11.pdf|https://webfiles.nycourts.gov/public/2025-12/4-11.docx|https://webfiles.nycourts.gov/public/2026-03/form-4-11-modificaton-of-an-order-of-support-petition-ncfc-3-2015.pdf,4-11.pdf|4-11.docx|form-4-11-modificaton-of-an-order-of-support-petition-ncfc-3-2015.pdf
4-11 DSS,Support Modification against DSS,https://www.nycourts.gov/forms/support-modification-against-dss?topic=611&wrapped=true,4-11 DSS,Family Forms,,https://www.nycourts.gov/media/27216,https://webfiles.nycourts.gov/public/2026-03/form-4-11-modificaton-of-an-order-of-support-petition-ncfc-when-filing-against-dss-3-2015.pdf,form-4-11-modificaton-of-an-order-of-support-petition-ncfc-when-filing-against-dss-3-2015.pdf
4-12,Petition (Violation of Support Order),https://www.nycourts.gov/forms/petition-violation-support-order-0?topic=611&wrapped=true,4-12,"Family Forms, Child Support",,https://www.nycourts.gov/media/13091|https://www.nycourts.gov/media/13096,https://webfiles.nycourts.gov/public/2025-12/4-12.pdf|https://webfiles.nycourts.gov/public/2025-12/4-12.docx,4-12.pdf|4-12.docx
4-12/13,Support Enforcement/Violation Petition,https://www.nycourts.gov/forms/support-enforcementviolation-petition?topic=611&wrapped=true,4-12/13,Family Forms,,https://www.nycourts.gov/media/27191|https://www.nycourts.gov/media/27196,https://webfiles.nycourts.gov/public/2026-03/form-4-12-13-support-enforcement-violation-petition-ncfc-7-2015.pdf|https://webfiles.nycourts.gov/public/2026-03/fillable-form-4-12-13-support-enforcement-violation-petition-ncfc-7-2015.pdf,form-4-12-13-support-enforcement-violation-petition-ncfc-7-2015.pdf|fillable-form-4-12-13-support-enforcement-violation-petition-ncfc-7-2015.pdf
4-12a-1,Summons - Violation of Support Order,https://www.nycourts.gov/forms/summons-violation-support-order?topic=611&wrapped=true,4-12a-1,"Family Forms, Child Support",,https://www.nycourts.gov/media/19306|https://www.nycourts.gov/media/19311,https://webfiles.nycourts.gov/public/2026-01/4-12a-1.pdf|https://webfiles.nycourts.gov/public/2026-01/4-12a-1.doc,4-12a-1.pdf|4-12a-1.doc
4-12a-2,Summons - Violation of a Support Order (Non-Resident),https://www.nycourts.gov/forms/summons-violation-support-order-non-resident?topic=611&wrapped=true,4-12a-2,Family Forms,,https://www.nycourts.gov/media/12821|https://www.nycourts.gov/media/12826,https://webfiles.nycourts.gov/public/2025-12/4-12a-2.pdf|https://webfiles.nycourts.gov/public/2025-12/4-12a-2.doc,4-12a-2.pdf|4-12a-2.doc
4-12a-2,Summons (Violation of Support Order) (Non-Resident),https://www.nycourts.gov/forms/summons-violation-support-order-non-resident-0?topic=611&wrapped=true,4-12a-2,"Family Forms, Child Support",,https://www.nycourts.gov/media/12821|https://www.nycourts.gov/media/12826,https://webfiles.nycourts.gov/public/2025-12/4-12a-2.pdf|https://webfiles.nycourts.gov/public/2025-12/4-12a-2.doc,4-12a-2.pdf|4-12a-2.doc
4-13,Petition for Enforcement of an Order,https://www.nycourts.gov/forms/petition-enforcement-order?topic=611&wrapped=true,4-13,Family Forms,,https://www.nycourts.gov/media/14731|https://www.nycourts.gov/media/14736,https://webfiles.nycourts.gov/public/2025-12/4-13.pdf|https://webfiles.nycourts.gov/public/2025-12/4-13.docx,4-13.pdf|4-13.docx
